architecture,batch_size,conv_filters,conv_ksize,data_augmented,dropout_keep_probability,elapsed_time_to_train,validation_accuracy
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[2, 2]",False,0.5,88.46213412284851,"[0.68888888840232032, 0.82267573671816696, 0.85941043059571798, 0.87573696120796285, 0.89954648553108685]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[1, 1]",True,0.4,149.360675573349,"[0.46145124732772241, 0.54784580512382008, 0.55464852618522387, 0.57278911597063753, 0.61746031740625429]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[4, 4]",False,0.5,92.7625904083252,"[0.76553287930499403, 0.86575963718820859, 0.89909297052154191, 0.8981859400158837, 0.91405895642953128]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[4, 4]",False,0.4,103.98212361335754,"[0.72879818596807466, 0.8546485263474134, 0.88503401336215792, 0.92086167800453511, 0.93560090702947851]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[2, 2]",True,0.6,126.57589197158812,"[0.74399092929974164, 0.84081632577372789, 0.86303854880689768, 0.86167800402154726, 0.87233560015014511]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[4, 4]",True,0.6,160.9754467010498,"[0.73945578209667251, 0.8503401350272215, 0.90521541874424938, 0.92743764150710328, 0.91859410436245315]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[3, 3]",True,0.5,174.03900837898254,"[0.8199546489315509, 0.87210884391585719, 0.89024943348501817, 0.89705215441126407, 0.91632653082849758]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[4, 4]",False,0.6,129.6998269557953,"[0.83333333352255445, 0.88049886642940456, 0.9086167802345726, 0.89478458068808731, 0.899092970710763]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[3, 3]",True,0.4,158.64646387100217,"[0.50022675747774081, 0.72766439887671786, 0.79160997759457885, 0.85396825372496965, 0.90408163162586097]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[2, 2]",False,0.6,128.61592626571658,"[0.78594104248920538, 0.85895691534288887, 0.86303854799595003, 0.88390022627080111, 0.88866213133005323]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[1, 1]",False,0.4,120.46892166137695,"[0.44784580466428309, 0.55079365046927176, 0.60544217705996939, 0.64036281165622533, 0.67165532866302802]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[3, 3]",True,0.5,195.18139219284058,"[0.73877551028517641, 0.79705215457345358, 0.83401360582061901, 0.82743764177741919, 0.84897959226924002]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[3, 3]",False,0.4,142.66989278793338,"[0.81995464803950857, 0.89546485209410964, 0.91655328798185942, 0.94285714285714284, 0.95079365079365075]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[4, 4]",True,0.5,206.9207623004913,"[0.8478458053941359, 0.89342403655149494, 0.89977324303585926, 0.9052154197173865, 0.92154195049182086]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[1, 1]",False,0.6,154.20591449737552,"[0.68299319717078522, 0.75170068032617199, 0.78458049873105518, 0.77074829861690664, 0.78956916083554296]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[1, 1]",True,0.5,197.61279320716858,"[0.55011337861722831, 0.61678004502709494, 0.65328798131877874, 0.66031746019581816, 0.67777777765613567]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[4, 4]",True,0.4,186.21048450469968,"[0.45941043029837059, 0.52539682523463593, 0.56099773264255648, 0.64421768672341928, 0.68049886596986764]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[4, 4]",True,0.4,211.8125832080841,"[0.10839002267573696, 0.57052154157167123, 0.79863945605262876, 0.88843537339277545, 0.9133786842936561]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[2, 2]",True,0.5,181.54826092720032,"[0.73378684793740445, 0.79478458033667665, 0.81995464863420342, 0.82108843548227595, 0.84489795929179978]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[2, 2]",True,0.6,234.68174839019773,"[0.77482993237826292, 0.81224489820246792, 0.82018140613897583, 0.85374149681489209, 0.83628117954379577]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[1, 1]",False,0.4,179.65804386138916,"[0.4814058952591046, 0.61315192700513632, 0.65102040773075998, 0.67596371890195639, 0.69387755058790279]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[4, 4]",False,0.6,185.53136014938354,"[0.84263038524424405, 0.90476190451862049, 0.91111111138142697, 0.92494331092791227, 0.93265306098120548]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[4, 4]",True,0.6,239.5585825443268,"[0.81428571352882995, 0.87619047516327597, 0.88798185968074672, 0.90136054448800296, 0.90566893375379431]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[1, 1]",False,0.4,208.81041884422302,"[0.64671201822168434, 0.73582766472347194, 0.7625850333107842, 0.76938775548048299, 0.78253968210717717]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[4, 4]",True,0.4,288.65013527870184,"[0.61360544260937611, 0.76643990970252596, 0.78072562379901911, 0.79251700685678428, 0.82811791407548385]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[3, 3]",True,0.6,286.7880659103394,"[0.71927437603879141, 0.78072562350167174, 0.79954648461201294, 0.83514739212805988, 0.84013605431364236]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[3, 3]",False,0.4,218.67928814888,"[0.71020408060545281, 0.84512471606671946, 0.88185941045787064, 0.92290249433106575, 0.92403628144945416]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[2, 2]",False,0.6,249.59231543540955,"[0.81224489822949952, 0.86757369641544058, 0.88571428598460156, 0.90136054397440279, 0.91360544217687079]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[4, 4]",False,0.6,259.86871337890625,"[0.79183673420730905, 0.87369614539503238, 0.90748299322431047, 0.92108843540118124, 0.92630385438871488]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[3, 3]",True,0.5,336.0500569343567,"[0.79047619069244313, 0.86825396847022096, 0.89614512509499544, 0.9086167802345726, 0.91451247225002363]"
