architecture,batch_size,conv_filters,conv_ksize,data_augmented,dropout_keep_probability,elapsed_time_to_train,validation_accuracy
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[2, 2]",False,0.6,66.48868107795714,"[0.76712018143292726, 0.85850340111725998, 0.8786848070399832, 0.91451247168236038, 0.91587301562973156]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[4, 4]",False,0.5,72.06415057182313,"[0.75873015856796922, 0.85079365082068237, 0.86666666645041401, 0.88594104292171072, 0.90136054346080274]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[3, 3]",True,0.6,111.59537553787231,"[0.84829931991711227, 0.88185941080928121, 0.89115646277425509, 0.90566893442958396, 0.91292517025724829]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[2, 2]",True,0.5,122.16097044944763,"[0.79002267595321418, 0.83900226797916988, 0.8696145128500975, 0.87755102078660541, 0.88185941064709172]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[1, 1]",False,0.6,64.75317573547363,"[0.67188208597857935, 0.73741496631077352, 0.75578231276298058, 0.79977324244116443, 0.79478458006636088]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[1, 1]",True,0.5,98.49135565757751,"[0.4571428568725413, 0.49750566863689294, 0.54557823096813796, 0.53900226692493813, 0.56507936478201759]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[4, 4]",False,0.4,86.0512855052948,"[0.61927437593066503, 0.71814058916368717, 0.76666666669369821, 0.77052154092291314, 0.81768707482993197]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[3, 3]",False,0.5,80.43622636795044,"[0.7918367347209091, 0.88140589569160999, 0.8818594096739546, 0.91133786799415706, 0.90929705215419498]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[2, 2]",True,0.5,104.86122512817384,"[0.68004535190642823, 0.73968253930409744, 0.78321995421602075, 0.79682539701461796, 0.82244897969996311]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[3, 3]",False,0.6,106.97831583023071,"[0.89092970540464056, 0.94217687074829937, 0.95192743764172338, 0.95056689342403633, 0.96893424055203292]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[1, 1]",False,0.5,83.80800604820251,"[0.63356009054075835, 0.74217687026173074, 0.73877550982563944, 0.77505668920724569, 0.79092970559386166]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[3, 3]",True,0.4,119.15347242355348,"[0.35328798177831566, 0.47414965983691398, 0.54172335617125977, 0.59206349200942887, 0.60453514755447979]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[2, 2]",False,0.4,97.06614923477171,"[0.78571428468708548, 0.86099773166941951, 0.89727891183494168, 0.91519274273697215, 0.92675736988482837]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[4, 4]",True,0.4,166.41076850891113,"[0.24648526077097505, 0.48820861686114009, 0.65011337890105991, 0.73356009097326369, 0.78639455809344505]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[1, 1]",False,0.5,102.05679941177368,"[0.52947845853645514, 0.61632653045005537, 0.66439909278130049, 0.68140589550238884, 0.70068027218993834]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[1, 1]",False,0.4,97.31093955039978,"[0.59478458039073989, 0.70181405906504246, 0.75668934248472286, 0.77437641653073885, 0.77709750493908147]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[4, 4]",True,0.5,133.61996102333072,"[0.72834467130994041, 0.85102040794701261, 0.88367346971213412, 0.89863945610669194, 0.9188208614617519]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[1, 1]",True,0.5,175.09305930137634,"[0.56780045400130774, 0.61383219970867475, 0.6115646260125297, 0.66190476222914096, 0.66349206343800027]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[3, 3]",False,0.4,141.5352027416229,"[0.80589569198841948, 0.88412698431620518, 0.9408163265306122, 0.96281179138321993, 0.96349206349206351]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[4, 4]",False,0.4,112.19854640960692,"[0.77573696096467859, 0.85646258506104522, 0.87437641701730739, 0.89931972791818804, 0.90294784607530454]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[2, 2]",True,0.4,149.50354623794556,"[0.73741496585123667, 0.78639455798531877, 0.80612244860114968, 0.82380952418796605, 0.81768707472180568]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[4, 4]",True,0.5,179.69548964500427,"[0.77709750604737637, 0.8199546489315509, 0.83310657639622421, 0.84943310698143748, 0.85986394601073668]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[3, 3]",True,0.5,203.23845744132998,"[0.62448979632384116, 0.70748299325134212, 0.77301587342134681, 0.79750566920455623, 0.81315192770795752]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[4, 4]",False,0.5,133.04096817970276,"[0.75782312876513214, 0.88412698412698409, 0.90136054448800296, 0.92743764172335597, 0.92925169965307186]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[3, 3]",True,0.5,177.2751533985138,"[0.74535147343633401, 0.84467120105717453, 0.87664399044313668, 0.90566893451067865, 0.91201814034628492]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[1, 1]",True,0.5,173.8533308506012,"[0.53514739174961778, 0.64308389992940995, 0.66984126957095402, 0.67573696169453146, 0.70680272081811957]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[3, 3]",True,0.4,163.88425040245056,"[0.70362811726507413, 0.78117913761917424, 0.79795918348424832, 0.82811791367001009, 0.83469387792946259]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[3, 3]",True,0.5,209.3830382823944,"[0.77074829937379108, 0.82902494336472077, 0.83764172376148283, 0.85850340176601803, 0.85986394598370508]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[3, 3]",True,0.5,181.7003915309906,"[0.74081632642248596, 0.80385487485094131, 0.83446712028953218, 0.83151927418719618, 0.84580498879728949]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[3, 3]",True,0.5,196.3338782787323,"[0.76009070278565627, 0.79954648569327635, 0.82947845842832879, 0.84761904702435276, 0.85374149697708168]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[2, 2]",True,0.6,202.84227633476257,"[0.74852607720563202, 0.81065759566906093, 0.83673469366129838, 0.86009070300190893, 0.86802721039778519]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[2, 2]",False,0.5,170.05628228187558,"[0.77891156413928186, 0.87959183624812531, 0.89818594079979963, 0.92721088438077304, 0.93197278911564629]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[1, 1]",True,0.5,214.2343816757202,"[0.47891156440959765, 0.53922902467299483, 0.55918367337477726, 0.57369614561128512, 0.60566893418629963]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[3, 3]",True,0.6,255.62089347839355,"[0.86961451247165533, 0.90770975075611449, 0.90770975075611449, 0.92653061243411905, 0.93537414984908507]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[2, 2]",True,0.4,208.56516218185425,"[0.66507936475498608, 0.74331065716386657, 0.80272108800286879, 0.82426303814327906, 0.84920634928744398]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[2, 2]",True,0.4,238.35365343093872,"[0.73287981821566217, 0.78684807299486359, 0.81428571444790376, 0.81972789072395724, 0.83129251684461325]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[2, 2]",False,0.5,200.72270584106445,"[0.76916099729992093, 0.82380952362030269, 0.8537414966527026, 0.88888888867263616, 0.88435374046939841]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[1, 1]",False,0.4,196.24263310432437,"[0.45011337917137578, 0.56122448990404472, 0.62380952337701845, 0.64943310641377416, 0.64852607693531616]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[2, 2]",False,0.4,229.84682369232175,"[0.78367346960400774, 0.84920634961182295, 0.87845804991365295, 0.89115646296347617, 0.89138322014386961]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[1, 1]",False,0.4,216.41973543167114,"[0.58911564623147183, 0.68367346900931292, 0.72131519258157462, 0.73446712055984809, 0.75442176827497764]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[4, 4]",True,0.4,241.48096990585327,"[0.69115646215252868, 0.78775510214894262, 0.82040816310311659, 0.84671201797840001, 0.84648526085206977]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[1, 1]",True,0.4,298.8530359268188,"[0.47120181443739911, 0.53129251749337125, 0.55102040859577062, 0.56666666693698253, 0.60657596382694723]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[2, 2]",False,0.6,255.9061110019684,"[0.81541950172848177, 0.86961451306635018, 0.896371882140231, 0.89705215462751675, 0.88526077116427782]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[2, 2]",False,0.4,248.8011124134064,"[0.66371882015885675, 0.81088435322789654, 0.88208616677325324, 0.89569160949075577, 0.91859410355150561]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[1, 1]",True,0.4,311.298593044281,"[0.41859410441651634, 0.50430839021189688, 0.54240362803681907, 0.57074829948191741, 0.59841269860191948]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[3, 3]",True,0.4,307.1713285446167,"[0.73469387771320993, 0.78662131511164901, 0.82176870734783525, 0.82970521501402739, 0.84421768696670363]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[3, 3]",False,0.6,291.6033282279968,"[0.86009070313706693, 0.90249433128201229, 0.92312925170068028, 0.94852607728672678, 0.9505668938024785]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[2, 2]",True,0.6,329.9370756149292,"[0.75873015802733756, 0.81587301568379478, 0.8435374142631652, 0.83718820845459052, 0.83310657607184513]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[1, 1]",False,0.4,302.6049156188965,"[0.65941043013618106, 0.72766439866046517, 0.74852607698937934, 0.77052154151760799, 0.79047618977336931]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[1, 1]",False,0.4,292.57392597198486,"[0.57687074816416184, 0.70136054432581341, 0.73061224500608557, 0.76666666704510888, 0.78344671158563528]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[4, 4]",True,0.4,381.6177349090576,"[0.3235827664399093, 0.5367346941748985, 0.64013605458395817, 0.69546485274286762, 0.74013605480021094]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[1, 1]",False,0.6,313.1439414024353,"[0.50476190468081006, 0.59795918378159574, 0.66394557806910304, 0.67210884313194119, 0.69909297033232087]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[2, 2]",True,0.4,443.95014929771423,"[0.72154195022150502, 0.78458049913652905, 0.79229024954123295, 0.81133786907542049, 0.82789115673290092]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[2, 2]",True,0.5,427.1984350681305,"[0.7333333331981754, 0.82426303835953174, 0.85555555533930283, 0.87210884340225703, 0.88503401368653689]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[2, 2]",False,0.5,362.400815486908,"[0.77936507863522653, 0.86349206327581085, 0.88253968205311406, 0.90022675661273011, 0.90158730110073304]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[1, 1]",False,0.5,396.0030081272125,"[0.657596371828023, 0.74263038543346516, 0.76961451276900272, 0.75895691655931019, 0.7841269844243316]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[2, 2]",False,0.4,401.2832021713257,"[0.79818594125933662, 0.86122449001217105, 0.87414966008019823, 0.87936507958133203, 0.88775510241925848]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[3, 3]",False,0.5,425.33049154281616,"[0.89365079384001478, 0.94172335600907031, 0.94625850340136053, 0.95510204081632655, 0.96326530631167007]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[1, 1]",False,0.6,412.61554765701294,"[0.57120181400489378, 0.65192743753359705, 0.67278911526781626, 0.68435374163175655, 0.69818594090792596]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[1, 1]",False,0.6,401.4942865371704,"[0.64263038556862306, 0.74195011345977957, 0.78548752818248169, 0.78458049875808678, 0.81632652990942367]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[3, 3]",False,0.5,462.5027456283569,"[0.76507936529561771, 0.84081632655764382, 0.85283446730940249, 0.88185941043083904, 0.88866213170849551]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[2, 2]",True,0.5,492.31640362739563,"[0.75646258479072936, 0.82199546382540745, 0.84829931951163851, 0.85396825375200125, 0.88208616704356912]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[4, 4]",False,0.6,526.2993724346161,"[0.88140589569160999, 0.93242630385487524, 0.93537414984908507, 0.94671201814058958, 0.96235827664399098]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[2, 2]",True,0.4,620.0301432609557,"[0.61609977340481992, 0.69138321990058538, 0.70045351500954489, 0.74013605501646362, 0.76258503428392133]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[2, 2]",False,0.6,514.8682653903961,"[0.81224489752667828, 0.86394557752847134, 0.87664399071345256, 0.87596371887492486, 0.88594104262436324]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[1, 1]",True,0.5,545.7206268310547,"[0.59614512464897429, 0.6546485255364658, 0.69024943332282862, 0.68526077070474078, 0.71315192741061018]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[4, 4]",False,0.4,594.6007115840913,"[0.65464852607709756, 0.76984127003049097, 0.79909297071076302, 0.83492063510985604, 0.8521541953897801]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[3, 3]",False,0.6,577.8233759403229,"[0.86099773280474601, 0.88594104330015289, 0.89024943332282869, 0.90294784602124134, 0.897278911753847]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[1, 1]",True,0.4,620.1964499950409,"[0.396371882072652, 0.49614512450030063, 0.53922902475408951, 0.57233560063671363, 0.56190476187773031]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[1, 1]",True,0.4,650.9420526027681,"[0.53832199487015775, 0.62494331084681742, 0.67120181419411484, 0.678458049778495, 0.69092970516135632]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[1, 1]",True,0.4,737.6499373912811,"[0.51088435393071774, 0.57142857175295048, 0.60634920667358538, 0.6349206348665718, 0.64399092986740492]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[4, 4]",True,0.6,792.671064376831,"[0.86326530633870169, 0.91269841307685484, 0.92766439928219158, 0.92993197278911566, 0.94580498866213147]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[1, 1]",False,0.5,683.705899477005,"[0.68730158740971359, 0.74376417265997996, 0.77256235841180187, 0.78956916113289033, 0.78185941037677587]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[3, 3]",False,0.4,714.4265015125275,"[0.87210884353741491, 0.92585034013605438, 0.95170068027210886, 0.9539682541574751, 0.97097505668934236]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[3, 3]",False,0.4,21.940210819244385,"[0.78367346957697614, 0.86349206368128462, 0.87528344692827087, 0.89773242670932862, 0.90294784602124134]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[4, 4]",False,0.5,11.817384004592896,"[0.85759637215240203, 0.89614512498686916, 0.92267573696145122, 0.93877550917688135, 0.9453514741932183]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[2, 2]",False,0.6,25.597697734832764,"[0.7900226757369615, 0.86326530631167009, 0.87369614571941145, 0.8888888894835838, 0.89229024954123293]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[4, 4]",True,0.5,60.53104305267334,"[0.47596371876679849, 0.60249433117388596, 0.64875283473743606, 0.7285714290039339, 0.76009070305597215]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[2, 2]",False,0.5,21.85367512702942,"[0.84058956935021878, 0.8843537417128513, 0.91473922902494331, 0.93151927456563832, 0.93106575982640927]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[4, 4]",True,0.4,23.498794078826904,"[0.70702947837695518, 0.79365079346157252, 0.81655328781966985, 0.83265306133261618, 0.84444444452553924]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[4, 4]",False,0.4,11.1466224193573,"[0.79773242584431792, 0.87505668939646675, 0.89795918291658505, 0.90113378663181987, 0.9038548747968782]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[4, 4]",False,0.6,8.105429410934448,"[0.79546485239145703, 0.85374149584175507, 0.87732426279526454, 0.90158730134401732, 0.90113378660478827]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[3, 3]",True,0.4,70.79895091056824,"[0.7546485264825713, 0.87460317481942729, 0.91405895710532081, 0.93628117932754307, 0.93809523828445918]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[64, 128]","[3, 3]",True,0.6,53.713985204696655,"[0.77641723337086965, 0.87913832150889637, 0.9113378687510415, 0.9312925159796025, 0.91927437668754941]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[1, 1]",True,0.6,18.580817222595215,"[0.44376417217341141, 0.49795918345721668, 0.54444444474179188, 0.55646258496643464, 0.58752834457659131]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[2, 2]",True,0.6,35.00873947143555,"[0.77936507917585829, 0.84557823110329589, 0.85487528323045936, 0.87233560042046099, 0.88866213154630591]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[4, 4]",True,0.6,35.582799434661865,"[0.66825396811881033, 0.7682539681458419, 0.80068027146008547, 0.81632652996348687, 0.8222222220870643]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[3, 3]",False,0.5,18.59450936317444,"[0.86371882086167795, 0.90136054421768708, 0.92426303892719497, 0.94240362830713498, 0.95011337868480727]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[2, 2]",False,0.4,8.898078680038452,"[0.68140589571864152, 0.8158730153864473, 0.85306122427354325, 0.87845804940005279, 0.88843537366309133]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[2, 2]",True,0.6,46.11379027366638,"[0.75827664442343501, 0.78911564647475607, 0.82562358336113473, 0.83061224533046452, 0.82789115705727989]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[3, 3]",False,0.4,18.182358264923096,"[0.82335600925951591, 0.86235827683321198, 0.88752834486042287, 0.90158730177652269, 0.90226757369614508]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[1, 1]",True,0.5,24.365825176239014,"[0.42766439905242315, 0.51224489798621531, 0.55986394552416807, 0.57755102035410011, 0.59183673485606703]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[16, 32]","[4, 4]",True,0.6,40.03275418281555,"[0.77981859469900328, 0.83219954670151342, 0.84376417274107474, 0.85419501177037382, 0.87278911624095334]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[16, 32]","[2, 2]",False,0.4,13.097694158554077,"[0.73582766472347194, 0.84829931924132262, 0.87414965964769287, 0.8786848070399832, 0.88412698391073141]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[4, 4]",False,0.5,28.004068851470947,"[0.88775510204081631, 0.92154195011337869, 0.946031746031746, 0.95963718820861676, 0.96099773242630382]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[4, 4]",False,0.5,17.972382307052612,"[0.69070294817018396, 0.80249433087653854, 0.86417233538465432, 0.8823129249538153, 0.8875283444549491]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[1, 1]",False,0.5,10.414426326751709,"[0.62517006797314767, 0.74058956872849235, 0.76213151908515531, 0.7752834468201445, 0.80385487533750988]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[3, 3]",True,0.6,20.81478714942932,"[0.78163265241246649, 0.8097505664879503, 0.83718820845459052, 0.85011337900918627, 0.85124716539772194]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[3, 3]",True,0.6,72.58999109268188,"[0.81791383238876758, 0.89274376436155667, 0.91859410430839006, 0.93287981859410429, 0.94058956935021887]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[2, 2]",True,0.6,48.618170976638794,"[0.72766439863343357, 0.83696145105794439, 0.85283446668767604, 0.88979591793484158, 0.89138321976542745]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,32.0,"[64, 128]","[1, 1]",False,0.4,29.571332693099976,"[0.5156462585034014, 0.62108843564446548, 0.63514739223618621, 0.63582766450721928, 0.70430839045518112]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[32, 64]","[1, 1]",True,0.6,25.6069598197937,"[0.55918367309094552, 0.67460317454911145, 0.68662131481430155, 0.70544217708700097, 0.70204081608324631]"
conv --> max_pool --> relu --> conv --> max_pool --> relu --> flatten --> fc --> dropout --> relu --> fc,128.0,"[16, 32]","[1, 1]",True,0.5,23.44035577774048,"[0.43764172343710384, 0.50249433094411755, 0.50430838975235992, 0.575283446590376, 0.5832199540538312]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,128.0,"[64, 128]","[1, 1]",True,0.5,34.575942277908325,"[0.5535147391344144, 0.61950113370575333, 0.64331065729902448, 0.67256235822258081, 0.68707482983736223]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,32.0,"[32, 64]","[2, 2]",True,0.5,53.34624147415161,"[0.73129251741227652, 0.75941043094712857, 0.78390022686549599, 0.80997732453335436, 0.82222222262769595]"
conv --> relu --> max_pool --> flatten --> fc --> dropout --> relu --> fc,64.0,"[32, 64]","[1, 1]",True,0.6,34.14192581176758,"[0.59274376419936714, 0.66984126962501711, 0.68526077140756203, 0.71111111073266897, 0.71269841261731792]"
